"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
1;"2020-01-16 11:02:40";"2020-01-16 13:20:40";46.7;38.4
1;"2020-01-16 13:20:40";"2020-01-16 13:25:46";38.4;56.7
1;"2020-01-17 09:05:49";"2020-01-17 12:14:10";56.3;51
1;"2020-01-17 14:45:48";"2020-01-17 16:12:27";51;43.9
1;"2020-01-20 09:44:03";"2020-01-20 12:44:07";43.9;23.5
1;"2020-01-20 12:44:07";"2020-01-20 13:07:58";23.5;57.9
1;"2020-01-20 13:07:58";"2020-01-20 16:52:59";57.9;50.3
1;"2020-01-21 18:01:24";"2020-01-21 18:51:24";46.5;41.2
1;"2020-01-22 12:52:35";"2020-01-22 12:53:35";34.6;57.2
1;"2020-01-22 12:53:35";"2020-01-22 16:32:15";57.2;36.1
1;"2020-01-23 10:22:56";"2020-01-23 12:04:57";34.3;25.7
1;"2020-01-23 12:04:57";"2020-01-23 12:08:05";25.7;55.1
1;"2020-01-24 09:17:53";"2020-01-24 11:52:53";52.3;37.1
1;"2020-01-24 15:54:33";"2020-01-24 18:05:59";32.8;24.4
1;"2020-01-30 14:44:49";"2020-01-30 14:45:49";19.2;57.3
1;"2020-02-05 09:47:39";"2020-02-05 13:16:41";50.4;44.9
1;"2020-02-07 09:29:57";"2020-02-07 10:48:10";38.8;31.9
1;"2020-02-12 08:49:00";"2020-02-12 11:31:08";31.5;24
1;"2020-02-13 15:43:10";"2020-02-13 15:49:21";14.5;54.2
1;"2020-02-14 14:13:10";"2020-02-14 17:13:35";51.7;45
1;"2020-02-25 13:33:18";"2020-02-25 15:40:22";31.7;20.5
1;"2020-02-25 15:40:22";"2020-02-25 15:41:22";20.5;46.4
1;"2020-02-25 15:41:22";"2020-02-25 17:24:54";46.4;52.6
1;"2020-03-04 12:19:38";"2020-03-04 15:55:46";34.3;25.6
1;"2020-03-05 10:16:44";"2020-03-05 10:18:44";23.1;56.1
1;"2020-03-12 11:50:47";"2020-03-12 12:35:51";49;43.5
1;"2020-03-12 12:47:57";"2020-03-12 15:02:13";43.5;32.1
1;"2020-03-13 11:14:10";"2020-03-13 11:19:12";27.7;56.7
1;"2020-03-26 10:56:01";"2020-03-26 11:46:01";24.3;18.7
1;"2020-03-26 11:46:01";"2020-03-26 11:52:34";18.7;58.7
1;"2020-03-26 11:52:34";"2020-03-26 13:42:50";58.7;48.4
1;"2020-03-26 13:58:17";"2020-03-26 15:46:01";48.4;40.3
1;"2020-03-26 16:28:09";"2020-03-26 17:32:09";40.3;34.8
1;"2020-04-20 10:28:10";"2020-04-20 10:33:22";17.3;57.3
1;"2020-04-20 11:21:08";"2020-04-20 11:57:01";57.9;51.6
1;"2020-04-20 12:10:28";"2020-04-20 14:47:47";51.6;41.4
1;"2020-04-21 10:57:14";"2020-04-21 13:39:06";33.5;26.2
1;"2020-04-21 13:53:02";"2020-04-21 15:49:28";26.2;18.6
1;"2020-04-21 15:49:28";"2020-04-21 15:55:15";18.6;59
1;"2020-04-22 08:26:23";"2020-04-22 11:01:20";59.2;51.7
1;"2020-04-22 11:13:01";"2020-04-22 13:03:40";51.7;43.5
1;"2020-04-23 15:00:25";"2020-04-23 16:07:25";25.4;19.6
1;"2020-04-23 16:33:52";"2020-04-23 16:41:46";21.9;55.1
1;"2020-04-24 13:21:13";"2020-04-24 15:00:30";46.2;40.3
1;"2020-04-27 09:48:21";"2020-04-27 12:18:56";40.1;32
1;"2020-04-27 13:49:56";"2020-04-27 15:59:47";30.5;22.2
1;"2020-04-27 15:59:47";"2020-04-27 16:07:50";22.2;50.9
1;"2020-04-28 07:19:26";"2020-04-28 10:32:52";49.2;35.9
1;"2020-04-28 14:13:42";"2020-04-28 17:23:32";34.5;21.9
1;"2020-04-28 17:23:32";"2020-04-28 17:28:24";21.9;58.4
1;"2020-04-29 07:16:44";"2020-04-29 10:25:43";58.7;44.1
1;"2020-04-29 10:36:33";"2020-04-29 12:13:17";44.1;37.5
1;"2020-04-29 14:40:17";"2020-04-29 17:55:59";33.3;19.2
1;"2020-04-29 17:55:59";"2020-04-29 17:57:59";19.2;59.5
1;"2020-05-07 11:05:51";"2020-05-07 11:11:09";39;58.4
1;"2020-05-18 09:53:51";"2020-05-18 10:56:41";56.8;51.6
1;"2020-05-18 12:21:26";"2020-05-18 13:53:30";51.6;41.9
1;"2020-05-19 07:50:48";"2020-05-19 10:13:06";41.8;36.5
1;"2020-05-19 10:13:06";"2020-05-19 10:15:06";36.5;57.5
1;"2020-05-19 12:35:43";"2020-05-19 16:11:11";57.7;43.9
1;"2020-05-20 10:04:49";"2020-05-20 12:30:29";38.6;30.9
1;"2020-05-20 13:02:52";"2020-05-20 16:08:58";30.9;24.8
1;"2020-05-20 17:28:34";"2020-05-20 17:37:50";20.5;58.6
1;"2020-05-21 08:06:15";"2020-05-21 11:56:38";55.6;44
1;"2020-05-21 13:15:17";"2020-05-21 15:50:01";42.1;35.9
1;"2020-05-22 14:05:24";"2020-05-22 14:12:31";26.7;57.3
1;"2020-05-22 14:12:31";"2020-05-22 15:39:29";57.3;51.7
1;"2020-05-26 08:19:52";"2020-05-26 10:00:19";38.9;30.9
1;"2020-05-26 13:09:19";"2020-05-26 14:28:06";24.8;19.2
1;"2020-05-26 14:28:06";"2020-05-26 14:38:15";19.2;58.1
