"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
3;"2020-01-09 08:40:43";"2020-01-09 10:44:05";144,3;127,4
3;"2020-01-09 12:10:57";"2020-01-09 14:36:57";127,4;101,3
3;"2020-01-09 14:36:57";"2020-02-10 08:28:21";101,3;83,6
3;"2020-02-10 08:28:21";"2020-02-10 11:27:00";83,6;69,2
3;"2020-02-10 11:27:00";"2020-02-10 11:33:00";69,2;208,6
3;"2020-02-10 11:33:00";"2020-02-10 15:08:00";208,6;179,8
3;"2020-02-14 07:20:20";"2020-02-14 09:52:20";179,8;155,3
3;"2020-02-14 11:38:18";"2020-02-14 14:34:08";155,3;127,2
3;"2020-03-03 06:11:39";"2020-03-03 07:44:06";127,2;115,9
3;"2020-03-03 07:44:06";"2020-03-03 07:51:06";115,9;255,9
3;"2020-03-03 07:51:06";"2020-03-03 10:24:06";255,9;230
3;"2020-03-03 10:24:06";"2020-03-03 10:33:06";230;140,1
3;"2020-03-03 10:33:06";"2020-03-03 12:59:05";140,1;117,5
3;"2020-03-03 12:59:05";"2020-03-03 13:07:05";117,5;277,1
3;"2020-03-03 13:07:05";"2020-03-03 16:01:05";277,1;255,6
3;"2020-03-20 06:28:32";"2020-03-20 10:12:43";246,7;224,2
3;"2020-03-20 11:14:41";"2020-03-20 11:41:41";224,2;213,4
3;"2020-03-25 06:38:57";"2020-03-25 06:46:57";210,9;117
3;"2020-03-25 06:46:57";"2020-03-25 07:59:57";117;106,9
3;"2020-03-25 07:59:57";"2020-03-25 08:07:57";106,9;264,3
3;"2020-03-26 07:08:02";"2020-03-26 08:46:05";263;249,7
3;"2020-03-27 06:40:39";"2020-03-27 10:37:40";249,7;211,1
3;"2020-04-27 12:46:12";"2020-04-27 13:35:13";208,3;203,1
3;"2020-05-27 06:16:00";"2020-05-27 13:45:40";203,1;111
3;"2020-06-26 14:11:35";"2020-06-26 14:18:52";99,8;193,4
