"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
19;"2020-01-09 06:54:54";"2020-01-09 14:37:07";48,6;24,2
19;"2020-01-13 07:22:33";"2020-01-13 08:49:53";24,2;17,5
19;"2020-02-03 07:57:39";"2020-02-03 10:01:40";14;2,1
19;"2020-02-03 13:42:55";"2020-02-04 14:56:51";3,9;15,2
19;"2020-02-10 12:00:42";"2020-02-10 12:04:42";5,5;22,9
19;"2020-02-10 12:04:42";"2020-02-10 15:09:42";22,9;17,4
19;"2020-02-14 11:57:24";"2020-02-14 13:59:24";11,7;4,6
19;"2020-02-14 13:59:24";"2020-02-14 14:03:24";4,6;26,2
19;"2020-03-03 06:20:30";"2020-03-03 09:34:31";10,3;0,3
19;"2020-03-03 10:24:58";"2020-03-03 10:33:08";0,3;91,2
19;"2020-03-03 13:39:55";"2020-03-03 13:43:55";89,2;70,6
19;"2020-03-05 07:49:46";"2020-03-05 07:52:46";64,8;53,4
19;"2020-03-05 07:52:46";"2020-03-05 10:18:46";53,4;47,2
19;"2020-03-05 12:40:30";"2020-03-05 13:58:34";47,2;40,9
19;"2020-03-10 06:59:33";"2020-03-10 09:37:36";40,9;35
19;"2020-03-13 10:07:14";"2020-03-13 15:06:14";26,7;4,3
19;"2020-03-25 06:39:14";"2020-03-25 06:48:17";0,3;95
19;"2020-03-26 09:34:00";"2020-03-26 09:38:00";89,8;69,3
19;"2020-03-26 13:27:55";"2020-03-26 14:15:55";70,4;57,9
19;"2020-03-27 06:48:05";"2020-03-27 10:27:06";57,9;48,4
19;"2020-03-27 11:57:22";"2020-03-27 12:58:22";48,4;41,2
19;"2020-04-24 07:08:08";"2020-04-24 08:07:19";40,8;34,1
